number,construction,installation,short,description
55,Резервуар хозяйственно-питьевого запаса воды V=50 м3, Площадка ВОС. , ВОС. ,УКПГ-2. ВОС. Резервуар хозяйственно-питьевого запаса воды V=50 м3 (поз. по ГП 55)
56,Резервуар противопожарного запаса воды V=2000 м3, Площадка ВОС. , ВОС. ,УКПГ-2. ВОС. Резервуар противопожарного запаса воды V=2000 м3 (поз. по ГП 56)
57,Резервуар противопожарного запаса воды V=2000 м3, Площадка ВОС. , ВОС. ,УКПГ-2. ВОС. Резервуар противопожарного запаса воды V=2000 м3 (поз. по ГП 57)
58,Насосная станция хозяйственно-питьевого и производственно противопожарного водоснабжения, Площадка ВОС. , ВОС. ,УКПГ-2. ВОС. Насосная станция хозяйственно-питьевого и производственно противопожарного водоснабжения (поз. по ГП 58)
59,Канализационная насосная станция условно чистых стоков, Площадка ВОС. , ВОС. ,УКПГ-2. ВОС. Канализационная насосная станция условно чистых стоков (поз. по ГП 59)
60,Склад дизтоплива в составе, , ,УКПГ-2. Склад дизтоплива в составе (поз. по ГП 60)
60а,Емкости расходные дизтоплива V=5x100 м3, , ,УКПГ-2. Емкости расходные дизтоплива V=5x100 м3 (поз. по ГП 60а)
60б,Насосная дизтоплива, , ,УКПГ-2. Насосная дизтоплива (поз. по ГП 60б)
60в,Площадка слива АЦ, , ,УКПГ-2. Площадка слива АЦ (поз. по ГП 60в)
60г,"Емкость подземная дренажная V=12,5 м3", , ,"УКПГ-2. Емкость подземная дренажная V=12,5 м3 (поз. по ГП 60г)"
61,Установка производства азота в составе, , ,УКПГ-2. Установка производства азота в составе (поз. по ГП 61)
61а,"Азотная станция Рраб.=3,5МПа", , ,"УКПГ-2. Азотная станция Рраб.=3,5МПа (поз. по ГП 61а)"
61б,Площадка ресиверов азота, , ,УКПГ-2. Площадка ресиверов азота (поз. по ГП 61б)
64,Блок-бокс дизельной электростанции АДЭС 1600 кВт, , ,УКПГ-2. Блок-бокс дизельной электростанции АДЭС 1600 кВт (поз. по ГП 64)
64а,Емкость подземная дренажная V =3м3, , ,УКПГ-2. Емкость подземная дренажная V =3м3 (поз. по ГП 64а)
65,Блок-бокс дизельной электростанции АДЭС 630 кВт,Административно-бытовая зона, АБЗ. ,УКПГ-2. АБЗ. Блок-бокс дизельной электростанции АДЭС 630 кВт (поз. по ГП 65)
65а,Емкость подземная дренажная V =3м3,Административно-бытовая зона, АБЗ. ,УКПГ-2. АБЗ. Емкость подземная дренажная V =3м3 (поз. по ГП 65а)
66,Блок-бокс дизельной электростанции АДЭС 1000 кВт, , ,УКПГ-2. Блок-бокс дизельной электростанции АДЭС 1000 кВт (поз. по ГП 66)
67,Блок-бокс дизельной электростанции АДЭС 1600 кВт, , ,УКПГ-2. Блок-бокс дизельной электростанции АДЭС 1600 кВт (поз. по ГП 67)
70,"Блочно-комплектная трансформаторная подстанция 2БКТПА 1000/10/0,4 УХЛ1", , ,"УКПГ-2. Блочно-комплектная трансформаторная подстанция 2БКТПА 1000/10/0,4 УХЛ1 (поз. по ГП 70)"
71,Блок-бокс дизельной электростанции АДЭС 1000кВт, , ,УКПГ-2. Блок-бокс дизельной электростанции АДЭС 1000кВт (поз. по ГП 71)
71а,Емкость подземная дренажная V =3м3, , ,УКПГ-2. Емкость подземная дренажная V =3м3 (поз. по ГП 71а)
72,"Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1", , ,"УКПГ-2. Блочно-комплектная трансформаторная подстанция 2БКТПА 1600/10/0,4 УХЛ1 (поз. по ГП 72)"
73,"Блочно-комплектная трансформаторная подстанция 2БКТПА 630/10/0,4 УХЛ1",Административно-бытовая зона, АБЗ. ,"УКПГ-2. АБЗ. Блочно-комплектная трансформаторная подстанция 2БКТПА 630/10/0,4 УХЛ1 (поз. по ГП 73)"
75,"Блочно-комплектная трансформаторная подстанция 2БКТПА 630/10/0,4 УХЛ1", , ,"УКПГ-2. Блочно-комплектная трансформаторная подстанция 2БКТПА 630/10/0,4 УХЛ1 (поз. по ГП 75)"
76,Блок-бокс дизельной электростанции АДЭС 630кВт, , ,УКПГ-2. Блок-бокс дизельной электростанции АДЭС 630кВт (поз. по ГП 76)
76а,Емкость подземная дренажная V =3м3, , ,УКПГ-2. Емкость подземная дренажная V =3м3 (поз. по ГП 76а)
